#Voltage(V),Current(A)
-9.0, -9.999654867e-05
-8.9, -9.999654867e-05
-8.8, -9.9996555946e-05
-8.700000000000001, -9.9996541394e-05
-8.600000000000001, -2.8402905627e-07
-8.500000000000002, -6.4576028969e-09
-8.400000000000002, -4.4847778824e-09
-8.300000000000002, -3.9782550587e-09
-8.200000000000003, -3.7251539631e-09
-8.100000000000003, -3.5590030922e-09
-8.000000000000004, -3.4357612311e-09
-7.900000000000004, -3.3356883922e-09
-7.800000000000004, -3.2511893178e-09
-7.700000000000005, -3.1706548498e-09
-7.600000000000005, -3.098539425e-09
-7.500000000000005, -3.0354161407e-09
-7.400000000000006, -2.9713616012e-09
-7.300000000000006, -2.911131336e-09
-7.200000000000006, -2.8536419894e-09
-7.100000000000007, -2.798573151e-09
-7.000000000000007, -2.7442506045e-09
-6.9000000000000075, -2.6919391161e-09
-6.800000000000008, -2.6401312248e-09
-6.700000000000008, -2.5882060939e-09
-6.6000000000000085, -2.5391253544e-09
-6.500000000000009, -2.4897852668e-09
-6.400000000000009, -2.4411321853e-09
-6.30000000000001, -2.3921482573e-09
-6.20000000000001, -2.3444493014e-09
-6.10000000000001, -2.2968684732e-09
-6.000000000000011, -2.2517090414e-09
-5.900000000000011, -2.2038608716e-09
-5.800000000000011, -2.1574144693e-09
-5.700000000000012, -2.1122485983e-09
-5.600000000000012, -2.0674910672e-09
-5.500000000000012, -2.0204065088e-09
-5.400000000000013, -1.9785528771e-09
-5.300000000000013, -1.9319450484e-09
-5.2000000000000135, -1.8887271747e-09
-5.100000000000014, -1.8436198124e-09
-5.000000000000014, -1.7998520452e-09
-4.900000000000015, -1.7542122199e-09
-4.800000000000015, -1.7126984275e-09
-4.700000000000015, -1.6688147531e-09
-4.600000000000016, -1.6261434421e-09
-4.500000000000016, -1.5817779309e-09
-4.400000000000016, -1.5400043463e-09
-4.300000000000017, -1.4961787365e-09
-4.200000000000017, -1.4544915272e-09
-4.100000000000017, -1.4113371583e-09
-4.000000000000018, -1.3694017031e-09
-3.900000000000018, -1.3266133747e-09
-3.8000000000000185, -1.2856102849e-09
-3.700000000000019, -1.2426013551e-09
-3.600000000000019, -1.200914701e-09
-3.5000000000000195, -1.1578540349e-09
-3.40000000000002, -1.1181381376e-09
-3.3000000000000203, -1.0747055468e-09
-3.2000000000000206, -1.034972219e-09
-3.100000000000021, -9.9334329651e-10
-3.0000000000000213, -9.5237528974e-10
-2.9000000000000217, -9.0970253552e-10
-2.800000000000022, -8.6980683767e-10
-2.7000000000000224, -8.278880359e-10
-2.6000000000000227, -7.8865769471e-10
-2.500000000000023, -7.4662970251e-10
-2.4000000000000234, -7.0683808806e-10
-2.300000000000024, -6.6495420281e-10
-2.200000000000024, -6.2578270343e-10
-2.1000000000000245, -5.8379640011e-10
-2.000000000000025, -5.4376109171e-10
-1.9000000000000252, -5.0389359352e-10
-1.8000000000000256, -4.6359199812e-10
-1.700000000000026, -4.2308725967e-10
-1.6000000000000263, -3.8325506657e-10
-1.5000000000000266, -3.4334726728e-10
-1.400000000000027, -3.0396138384e-10
-1.3000000000000274, -2.6467972258e-10
-1.2000000000000277, -2.2512569586e-10
-1.100000000000028, -1.8535140089e-10
-1.0000000000000284, -1.4580905927e-10
-0.9000000000000288, -1.065100716e-10
-0.8000000000000291, -6.8219679905e-11
-0.7000000000000295, -2.9309093347e-11
-0.6000000000000298, 9.7637471025e-12
-0.5000000000000302, 4.8950534598e-11
-0.40000000000003055, 8.7381858693e-11
-0.3000000000000309, 1.2626510948e-10
-0.20000000000003126, 1.6364173905e-10
-0.10000000000003162, 2.0279747326e-10
-3.197442310920451e-14, 2.4538923671e-10
0.09999999999996767, 2.8395388818e-10
0.19999999999996732, 3.3619429463e-10
0.29999999999996696, 5.0810949892e-10
0.3999999999999666, 1.6708512351e-09
0.49999999999996625, 1.0898409286e-08
0.5999999999999659, 8.913573879e-08
0.6999999999999655, 7.3285798408e-07
0.7999999999999652, 6.4038090386e-06
0.8999999999999648, 6.8944136729e-05
