#Voltage(V),Current(A)
-8.7, -1.1093987268e-05
-8.699, -9.0030634965e-06
-8.698, -7.4666277214e-06
-8.697000000000001, -6.6296574914e-06
-8.696000000000002, -5.7477509472e-06
-8.695000000000002, -5.0014423323e-06
-8.694000000000003, -4.6336472224e-06
-8.693000000000003, -3.7967161006e-06
-8.692000000000004, -3.6015808291e-06
-8.691000000000004, -2.8048671084e-06
-8.690000000000005, -2.6933114441e-06
-8.689000000000005, -2.6926707051e-06
-8.688000000000006, -2.3147003958e-06
-8.687000000000006, -1.9765959678e-06
-8.686000000000007, -1.8333686285e-06
-8.685000000000008, -1.5545529095e-06
-8.684000000000008, -1.4920419744e-06
-8.683000000000009, -1.239919925e-06
-8.68200000000001, -1.1421644786e-06
-8.68100000000001, -9.8887028344e-07
-8.68000000000001, -9.2124514595e-07
-8.679000000000011, -7.9284961885e-07
-8.678000000000011, -7.2262866979e-07
-8.677000000000012, -6.3253435201e-07
-8.676000000000013, -5.9825032395e-07
-8.675000000000013, -5.249263495e-07
-8.674000000000014, -5.0360847581e-07
-8.673000000000014, -4.792310051e-07
-8.672000000000015, -3.8417462633e-07
-8.671000000000015, -3.513189597e-07
-8.670000000000016, -3.4154075479e-07
-8.669000000000016, -2.7600916042e-07
-8.668000000000017, -2.7334621677e-07
-8.667000000000018, -2.5402889037e-07
-8.666000000000018, -2.1743805689e-07
-8.665000000000019, -2.0275041379e-07
-8.66400000000002, -1.9301104714e-07
-8.66300000000002, -1.7427781529e-07
-8.66200000000002, -1.5846788415e-07
-8.661000000000021, -1.3797723852e-07
-8.660000000000021, -1.3478964433e-07
-8.659000000000022, -1.1934425004e-07
-8.658000000000023, -1.1264820188e-07
-8.657000000000023, -1.0573144493e-07
-8.656000000000024, -1.0179103072e-07
-8.655000000000024, -9.1476216824e-08
-8.654000000000025, -9.5792401567e-08
-8.653000000000025, -1.0339299195e-07
-8.652000000000026, -9.6619586998e-08
-8.651000000000026, -8.862863865e-08
-8.650000000000027, -8.4823234658e-08
-8.649000000000028, -8.2423007086e-08
-8.648000000000028, -7.6260668891e-08
-8.647000000000029, -7.0858796164e-08
-8.64600000000003, -6.7808763049e-08
-8.64500000000003, -6.5826021967e-08
-8.64400000000003, -6.4989315263e-08
-8.64300000000003, -6.074422032e-08
-8.642000000000031, -5.5813028865e-08
-8.641000000000032, -5.5432405333e-08
-8.640000000000033, -5.0125485984e-08
-8.639000000000033, -4.7787722224e-08
-8.638000000000034, -4.6474411874e-08
-8.637000000000034, -4.4621831563e-08
-8.636000000000035, -4.309436008e-08
-8.635000000000035, -3.9321964351e-08
-8.634000000000036, -3.8893862353e-08
-8.633000000000036, -3.6876365073e-08
-8.632000000000037, -3.5451240166e-08
-8.631000000000038, -3.4104846947e-08
-8.630000000000038, -3.2279860562e-08
-8.629000000000039, -3.0472442347e-08
-8.62800000000004, -3.0006063412e-08
