#Voltage(V),Current(A)
-8.7, -3.4480533486e-06
-8.6999, -3.3718065424e-06
-8.6998, -3.0256692298e-06
-8.6997, -2.7466448955e-06
-8.6996, -2.6367131341e-06
-8.6995, -2.6013847219e-06
-8.6994, -2.3934703677e-06
-8.699300000000001, -2.4479927561e-06
-8.699200000000001, -2.2754843485e-06
-8.699100000000001, -2.1756313799e-06
-8.699000000000002, -2.1446153369e-06
-8.698900000000002, -1.9604487989e-06
-8.698800000000002, -2.1156045023e-06
-8.698700000000002, -1.8834267621e-06
-8.698600000000003, -2.0299069092e-06
-8.698500000000003, -1.8793110712e-06
-8.698400000000003, -1.8289219952e-06
-8.698300000000003, -1.8287391867e-06
-8.698200000000003, -1.8060416096e-06
-8.698100000000004, -1.6921090946e-06
-8.698000000000004, -1.6310918909e-06
-8.697900000000004, -1.5468086758e-06
-8.697800000000004, -1.5764120462e-06
-8.697700000000005, -1.4238502217e-06
-8.697600000000005, -1.4110880784e-06
-8.697500000000005, -1.4275756257e-06
-8.697400000000005, -1.4244853901e-06
-8.697300000000006, -1.4445993202e-06
-8.697200000000006, -1.3453995962e-06
-8.697100000000006, -1.3131185597e-06
-8.697000000000006, -1.3559658782e-06
-8.696900000000007, -1.2804406424e-06
-8.696800000000007, -1.2983082343e-06
-8.696700000000007, -1.1691803365e-06
-8.696600000000007, -1.1581801118e-06
-8.696500000000007, -1.1967134697e-06
-8.696400000000008, -1.1206611816e-06
-8.696300000000008, -1.2310349575e-06
-8.696200000000008, -1.0679274283e-06
-8.696100000000008, -1.1449583326e-06
-8.696000000000009, -1.184008056e-06
-8.695900000000009, -1.2519950587e-06
-8.695800000000009, -1.1893846477e-06
-8.69570000000001, -1.0564197055e-06
-8.69560000000001, -1.0153119092e-06
-8.69550000000001, -1.0774317616e-06
-8.69540000000001, -1.037169568e-06
-8.69530000000001, -1.0751919035e-06
-8.69520000000001, -9.1155760629e-07
-8.69510000000001, -9.1107978051e-07
-8.695000000000011, -8.8843830781e-07
-8.694900000000011, -8.7588000497e-07
-8.694800000000011, -8.0815442516e-07
-8.694700000000012, -7.2572947829e-07
-8.694600000000012, -8.1630440718e-07
-8.694500000000012, -7.7313291058e-07
-8.694400000000012, -7.5297305102e-07
-8.694300000000013, -8.2656879385e-07
-8.694200000000013, -7.801449442e-07
-8.694100000000013, -7.7750530636e-07
