#Voltage(V),Current(A)
-9.0, -9.9996577774e-05
-8.9, -9.9996577774e-05
-8.8, -9.9996643257e-05
-8.700000000000001, -4.5216194849e-05
-8.600000000000001, -2.6089637686e-05
-8.500000000000002, -1.7945176296e-05
-8.400000000000002, -1.3686735656e-05
-8.300000000000002, -1.0995830962e-05
-8.200000000000003, -9.0819239631e-06
-8.100000000000003, -7.8127150118e-06
-8.000000000000004, -6.8495028245e-06
-7.900000000000004, -6.1800178628e-06
-7.800000000000004, -5.6293442867e-06
-7.700000000000005, -5.1594183788e-06
-7.600000000000005, -4.7613780225e-06
-7.500000000000005, -4.4183839236e-06
-7.400000000000006, -4.1343937482e-06
-7.300000000000006, -3.8703378777e-06
-7.200000000000006, -3.6139190343e-06
-7.100000000000007, -3.4663610222e-06
-7.000000000000007, -3.3352457649e-06
-6.9000000000000075, -3.1810091059e-06
-6.800000000000008, -3.04503601e-06
-6.700000000000008, -2.941531875e-06
-6.6000000000000085, -2.8321048831e-06
-6.500000000000009, -2.7537535061e-06
-6.400000000000009, -2.6622026326e-06
-6.30000000000001, -2.5825274861e-06
-6.20000000000001, -2.4795924674e-06
-6.10000000000001, -2.4050959837e-06
-6.000000000000011, -2.3336560844e-06
-5.900000000000011, -2.2795375116e-06
-5.800000000000011, -2.2390634058e-06
-5.700000000000012, -2.1979353733e-06
-5.600000000000012, -2.1550313249e-06
-5.500000000000012, -2.106855618e-06
-5.400000000000013, -2.0584520826e-06
-5.300000000000013, -2.0109041543e-06
-5.2000000000000135, -1.9766014248e-06
-5.100000000000014, -1.9438637082e-06
-5.000000000000014, -1.9047676005e-06
-4.900000000000015, -1.8675950741e-06
-4.800000000000015, -1.8420287233e-06
-4.700000000000015, -1.8086567479e-06
-4.600000000000016, -1.7851965595e-06
-4.500000000000016, -1.7687945046e-06
-4.400000000000016, -1.7434492747e-06
-4.300000000000017, -1.7081741817e-06
-4.200000000000017, -1.6882696627e-06
-4.100000000000017, -1.6654810224e-06
-4.000000000000018, -1.6286344362e-06
-3.900000000000018, -1.6666969032e-06
-3.8000000000000185, -1.6414337551e-06
-3.700000000000019, -1.64064204e-06
-3.600000000000019, -1.6176304598e-06
-3.5000000000000195, -1.5962772295e-06
-3.40000000000002, -1.575056217e-06
-3.3000000000000203, -1.5704599718e-06
-3.2000000000000206, -1.5659595647e-06
-3.100000000000021, -1.5552778905e-06
-3.0000000000000213, -1.539090249e-06
-2.9000000000000217, -1.5222567527e-06
-2.800000000000022, -1.4948504941e-06
-2.7000000000000224, -1.4770378129e-06
-2.6000000000000227, -1.4797930135e-06
-2.500000000000023, -1.4831508679e-06
-2.4000000000000234, -1.4893623757e-06
-2.300000000000024, -1.4973683164e-06
-2.200000000000024, -1.5003842009e-06
-2.1000000000000245, -1.4976357079e-06
-2.000000000000025, -1.4985414509e-06
-1.9000000000000252, -1.4952422589e-06
-1.8000000000000256, -1.4788548697e-06
-1.700000000000026, -1.469556878e-06
-1.6000000000000263, -1.4618090063e-06
-1.5000000000000266, -1.4478790717e-06
-1.400000000000027, -1.4612410268e-06
-1.3000000000000274, -1.4890094917e-06
-1.2000000000000277, -1.4989915371e-06
-1.100000000000028, -1.4932097656e-06
-1.0000000000000284, -1.4864471041e-06
-0.9000000000000288, -1.4810476614e-06
-0.8000000000000291, -1.4767616676e-06
-0.7000000000000295, -1.4645320334e-06
-0.6000000000000298, -1.4569092173e-06
-0.5000000000000302, -1.4483493942e-06
-0.40000000000003055, -1.4494956986e-06
-0.3000000000000309, -1.4563134982e-06
-0.20000000000003126, -1.4585141344e-06
-0.10000000000003162, -1.4618415207e-06
-3.197442310920451e-14, -1.4672322095e-06
0.09999999999996767, -1.471304472e-06
0.19999999999996732, -1.4685230099e-06
0.29999999999996696, -1.4606246168e-06
0.3999999999999666, -1.4523317304e-06
0.49999999999996625, -1.435580316e-06
0.5999999999999659, -1.3653547057e-06
0.6999999999999655, -6.2800552314e-07
0.7999999999999652, 5.8853088376e-06
0.8999999999999648, 6.4371655753e-05
