#Voltage(V),Current(A)
-8.7, -5.3195948567e-05
-8.6999, -4.9385442253e-05
-8.6998, -4.7889112466e-05
-8.6997, -4.6657809435e-05
-8.6996, -4.6136101446e-05
-8.6995, -4.5545071771e-05
-8.6994, -4.5099695853e-05
-8.699300000000001, -4.4794018322e-05
-8.699200000000001, -4.457027535e-05
-8.699100000000001, -4.405456275e-05
-8.699000000000002, -4.3484225898e-05
-8.698900000000002, -4.3144063966e-05
-8.698800000000002, -4.2987034249e-05
-8.698700000000002, -4.2571169615e-05
-8.698600000000003, -4.2350926378e-05
-8.698500000000003, -4.2153540562e-05
-8.698400000000003, -4.2061215936e-05
-8.698300000000003, -4.1644951125e-05
-8.698200000000003, -4.1183786379e-05
-8.698100000000004, -4.108488065e-05
-8.698000000000004, -4.0815695684e-05
-8.697900000000004, -4.052307122e-05
-8.697800000000004, -4.0420196456e-05
-8.697700000000005, -4.0357590478e-05
-8.697600000000005, -4.0137569158e-05
-8.697500000000005, -3.9634400309e-05
-8.697400000000005, -3.9718750486e-05
-8.697300000000006, -3.9660015318e-05
-8.697200000000006, -3.9476159145e-05
-8.697100000000006, -3.8998932723e-05
-8.697000000000006, -3.9089831262e-05
-8.696900000000007, -3.8962487451e-05
-8.696800000000007, -3.8627294998e-05
-8.696700000000007, -3.8277095882e-05
-8.696600000000007, -3.8378177123e-05
-8.696500000000007, -3.8140613469e-05
-8.696400000000008, -3.7802226871e-05
-8.696300000000008, -3.7667858123e-05
-8.696200000000008, -3.7574925955e-05
-8.696100000000008, -3.7236637581e-05
-8.696000000000009, -3.6803136027e-05
-8.695900000000009, -3.7484442146e-05
-8.695800000000009, -3.7959005567e-05
-8.69570000000001, -3.7110290577e-05
-8.69560000000001, -3.6770845327e-05
-8.69550000000001, -3.6752880987e-05
-8.69540000000001, -3.6667464883e-05
-8.69530000000001, -3.6356115743e-05
-8.69520000000001, -3.6295034079e-05
-8.69510000000001, -3.6522545997e-05
-8.695000000000011, -3.6295656173e-05
-8.694900000000011, -3.6178869777e-05
-8.694800000000011, -3.6022120184e-05
-8.694700000000012, -3.6110344809e-05
-8.694600000000012, -3.5589899198e-05
-8.694500000000012, -3.5452954762e-05
-8.694400000000012, -3.5527340515e-05
-8.694300000000013, -3.5572789784e-05
-8.694200000000013, -3.5181041312e-05
-8.694100000000013, -3.51320341e-05
-8.694000000000013, -3.4968808905e-05
-8.693900000000014, -3.4684424463e-05
-8.693800000000014, -3.4430067899e-05
-8.693700000000014, -3.383587682e-05
-8.693600000000014, -3.4086766391e-05
-8.693500000000014, -3.4014290577e-05
-8.693400000000015, -3.3860487747e-05
-8.693300000000015, -3.3919543057e-05
-8.693200000000015, -3.4075990698e-05
-8.693100000000015, -3.397254477e-05
-8.693000000000016, -3.3754939068e-05
-8.692900000000016, -3.3754749893e-05
-8.692800000000016, -3.3795677155e-05
-8.692700000000016, -3.3508404158e-05
-8.692600000000017, -3.3329837606e-05
-8.692500000000017, -3.3368771255e-05
-8.692400000000017, -3.3302403608e-05
-8.692300000000017, -3.3193366107e-05
-8.692200000000017, -3.2868782e-05
-8.692100000000018, -3.3095438994e-05
-8.692000000000018, -3.2864754758e-05
-8.691900000000018, -3.2713855035e-05
-8.691800000000018, -3.2595857192e-05
-8.691700000000019, -3.2672942325e-05
-8.691600000000019, -3.2561034459e-05
-8.691500000000019, -3.2334650314e-05
-8.69140000000002, -3.2366046071e-05
-8.69130000000002, -3.2429186831e-05
-8.69120000000002, -3.2217601984e-05
-8.69110000000002, -3.2134106732e-05
-8.69100000000002, -3.2170704799e-05
-8.69090000000002, -3.2241754525e-05
-8.69080000000002, -3.2073530747e-05
-8.690700000000021, -3.1886822399e-05
-8.690600000000021, -3.2057527278e-05
-8.690500000000021, -3.1862989999e-05
-8.690400000000022, -3.1651579775e-05
-8.690300000000022, -3.171825665e-05
-8.690200000000022, -3.1711493648e-05
-8.690100000000022, -3.1471732655e-05
-8.690000000000023, -3.1240317185e-05
-8.689900000000023, -3.1244198908e-05
-8.689800000000023, -3.1378651329e-05
-8.689700000000023, -3.1162031519e-05
-8.689600000000024, -3.0939245335e-05
-8.689500000000024, -3.1006788049e-05
-8.689400000000024, -3.0800973036e-05
-8.689300000000024, -3.0637344025e-05
-8.689200000000024, -3.0376488212e-05
-8.689100000000025, -3.0644416256e-05
-8.689000000000025, -3.050061423e-05
-8.688900000000025, -3.0308061469e-05
-8.688800000000025, -3.0162802432e-05
-8.688700000000026, -3.012930938e-05
-8.688600000000026, -3.0023256841e-05
-8.688500000000026, -2.990547182e-05
-8.688400000000026, -3.0027898902e-05
-8.688300000000027, -3.0113702451e-05
-8.688200000000027, -2.981657417e-05
-8.688100000000027, -2.9821518183e-05
-8.688000000000027, -3.0279001294e-05
-8.687900000000027, -3.0216509913e-05
-8.687800000000028, -3.0061422876e-05
-8.687700000000028, -3.0025152228e-05
-8.687600000000028, -3.0073852031e-05
-8.687500000000028, -2.994721217e-05
-8.687400000000029, -2.9705472116e-05
-8.687300000000029, -2.9896586057e-05
-8.68720000000003, -2.9877624911e-05
-8.68710000000003, -2.9498516597e-05
-8.68700000000003, -2.9392165743e-05
-8.68690000000003, -2.9549044484e-05
-8.68680000000003, -2.9380509659e-05
-8.68670000000003, -2.9093376725e-05
-8.68660000000003, -2.8937191018e-05
-8.68650000000003, -2.9066688512e-05
-8.686400000000031, -2.8853140975e-05
-8.686300000000031, -2.8707614547e-05
-8.686200000000031, -2.8790571378e-05
-8.686100000000032, -2.877750012e-05
-8.686000000000032, -2.8577342164e-05
-8.685900000000032, -2.8438626032e-05
-8.685800000000032, -2.8671222026e-05
-8.685700000000033, -2.8595273761e-05
-8.685600000000033, -2.842050344e-05
-8.685500000000033, -2.8201835448e-05
-8.685400000000033, -2.8568189009e-05
-8.685300000000034, -2.8439160815e-05
-8.685200000000034, -2.818336543e-05
-8.685100000000034, -2.8281563573e-05
-8.685000000000034, -2.8394935725e-05
-8.684900000000034, -2.8204276532e-05
-8.684800000000035, -2.8045566069e-05
-8.684700000000035, -2.8053531423e-05
-8.684600000000035, -2.794827742e-05
-8.684500000000035, -2.7896463507e-05
