#Voltage(V),Current(A)
-9.0, -9.999658505e-05
-8.9, -9.9996505014e-05
-8.8, -6.4285090957e-06
-8.700000000000001, -3.0706875265e-08
-8.600000000000001, -2.0083582797e-08
-8.500000000000002, -1.5981438395e-08
-8.400000000000002, -1.3649201769e-08
-8.300000000000002, -1.2039716779e-08
-8.200000000000003, -1.0963574937e-08
-8.100000000000003, -9.8994643594e-09
-8.000000000000004, -1.0081361523e-08
-7.900000000000004, -8.7569533846e-09
-7.800000000000004, -8.1715834099e-09
-7.700000000000005, -7.8387252245e-09
-7.600000000000005, -7.5408888023e-09
-7.500000000000005, -7.210560149e-09
-7.400000000000006, -6.9335372999e-09
-7.300000000000006, -6.6427077172e-09
-7.200000000000006, -6.3766516512e-09
-7.100000000000007, -6.1862146516e-09
-7.000000000000007, -6.0243343647e-09
-6.9000000000000075, -5.8308269324e-09
-6.800000000000008, -5.6602242893e-09
-6.700000000000008, -5.4757891554e-09
-6.6000000000000085, -5.3207780404e-09
-6.500000000000009, -5.1351722874e-09
-6.400000000000009, -5.0515325256e-09
-6.30000000000001, -4.9035060457e-09
-6.20000000000001, -4.8139057185e-09
-6.10000000000001, -4.7198569497e-09
-6.000000000000011, -4.6523642716e-09
-5.900000000000011, -4.5089239009e-09
-5.800000000000011, -4.4214973904e-09
-5.700000000000012, -4.3184198439e-09
-5.600000000000012, -4.2415506663e-09
-5.500000000000012, -4.1364693892e-09
-5.400000000000013, -4.0475285346e-09
-5.300000000000013, -3.9600127621e-09
-5.2000000000000135, -3.881762467e-09
-5.100000000000014, -3.8123797452e-09
-5.000000000000014, -3.7308494072e-09
-4.900000000000015, -3.662783632e-09
-4.800000000000015, -3.5893852335e-09
-4.700000000000015, -3.521353209e-09
-4.600000000000016, -3.4538587546e-09
-4.500000000000016, -3.3838714053e-09
-4.400000000000016, -3.3035381097e-09
-4.300000000000017, -3.272446536e-09
-4.200000000000017, -3.1935019074e-09
-4.100000000000017, -3.107305524e-09
-4.000000000000018, -3.0856295297e-09
-3.900000000000018, -3.006201732e-09
-3.8000000000000185, -2.9552231773e-09
-3.700000000000019, -2.8919093786e-09
-3.600000000000019, -2.8337552305e-09
-3.5000000000000195, -2.7731090757e-09
-3.40000000000002, -2.7092159627e-09
-3.3000000000000203, -2.6360031935e-09
-3.2000000000000206, -2.6234874273e-09
-3.100000000000021, -2.5725204189e-09
-3.0000000000000213, -2.5113529034e-09
-2.9000000000000217, -2.5024793349e-09
-2.800000000000022, -2.4245596641e-09
-2.7000000000000224, -2.3748849554e-09
-2.6000000000000227, -2.3500659196e-09
-2.500000000000023, -2.2847395087e-09
-2.4000000000000234, -2.238579988e-09
-2.300000000000024, -2.1811374928e-09
-2.200000000000024, -2.1400483607e-09
-2.1000000000000245, -2.0967276804e-09
-2.000000000000025, -2.0550401381e-09
-1.9000000000000252, -2.0097012943e-09
-1.8000000000000256, -1.9730321821e-09
-1.700000000000026, -1.9312875743e-09
-1.6000000000000263, -1.8862675866e-09
-1.5000000000000266, -1.8410206692e-09
-1.400000000000027, -1.7937052954e-09
-1.3000000000000274, -1.759310031e-09
-1.2000000000000277, -1.7302239641e-09
-1.100000000000028, -1.6662082825e-09
-1.0000000000000284, -1.6336914044e-09
-0.9000000000000288, -1.5848111712e-09
-0.8000000000000291, -1.5374663764e-09
-0.7000000000000295, -1.4920575886e-09
-0.6000000000000298, -1.4435533879e-09
-0.5000000000000302, -1.3755977468e-09
-0.40000000000003055, -1.3474334981e-09
-0.3000000000000309, -1.3286244327e-09
-0.20000000000003126, -1.2618043277e-09
-0.10000000000003162, -1.2119151238e-09
-3.197442310920451e-14, -1.1569492031e-09
0.09999999999996767, -1.1004297473e-09
0.19999999999996732, -1.0244107784e-09
0.29999999999996696, -7.2849237753e-10
0.3999999999999666, 1.3631011875e-09
0.49999999999996625, 1.8037432881e-08
0.5999999999999659, 1.4989046804e-07
0.6999999999999655, 1.1879891417e-06
0.7999999999999652, 9.7182664831e-06
0.8999999999999648, 7.1902002674e-05
