#Voltage(V),Current(A)
-8.7, -4.5248956582e-08
-8.6999, -4.3230670599e-08
-8.6998, -4.223410599e-08
-8.6997, -3.9429945531e-08
-8.6996, -3.8921236012e-08
-8.6995, -3.8576967398e-08
-8.6994, -3.8226353638e-08
-8.699300000000001, -3.8517161016e-08
-8.699200000000001, -3.7304506151e-08
-8.699100000000001, -3.7178736534e-08
-8.699000000000002, -3.7467398073e-08
-8.698900000000002, -3.7275398768e-08
-8.698800000000002, -3.7488156579e-08
-8.698700000000002, -3.6470037656e-08
-8.698600000000003, -3.6441278439e-08
-8.698500000000003, -3.6269359072e-08
-8.698400000000003, -3.6384825819e-08
-8.698300000000003, -3.6266225578e-08
-8.698200000000003, -3.5973208412e-08
-8.698100000000004, -3.5791803299e-08
-8.698000000000004, -3.5590286274e-08
-8.697900000000004, -3.5330845805e-08
-8.697800000000004, -3.5335656179e-08
-8.697700000000005, -3.5059304793e-08
-8.697600000000005, -3.4843566254e-08
-8.697500000000005, -3.5016441302e-08
-8.697400000000005, -3.4660139647e-08
-8.697300000000006, -3.480854005e-08
-8.697200000000006, -3.4503337076e-08
-8.697100000000006, -3.4579148434e-08
-8.697000000000006, -3.4296029128e-08
-8.696900000000007, -3.4348349942e-08
-8.696800000000007, -3.4053297071e-08
-8.696700000000007, -3.3866687232e-08
-8.696600000000007, -3.3963829082e-08
-8.696500000000007, -3.3782061593e-08
-8.696400000000008, -3.3664356636e-08
-8.696300000000008, -3.3625848772e-08
-8.696200000000008, -3.3258405807e-08
-8.696100000000008, -3.3225319385e-08
-8.696000000000009, -3.3043455971e-08
-8.695900000000009, -3.2868733513e-08
-8.695800000000009, -3.294167783e-08
-8.69570000000001, -3.2901915858e-08
-8.69560000000001, -3.2770120839e-08
-8.69550000000001, -3.2782988768e-08
-8.69540000000001, -3.2562386565e-08
-8.69530000000001, -3.2551668028e-08
-8.69520000000001, -3.2525310445e-08
-8.69510000000001, -3.2450113707e-08
-8.695000000000011, -3.2591472632e-08
-8.694900000000011, -3.2525427685e-08
-8.694800000000011, -3.2652803128e-08
-8.694700000000012, -3.2214774848e-08
-8.694600000000012, -3.2304217967e-08
-8.694500000000012, -3.2378725479e-08
-8.694400000000012, -3.204409893e-08
-8.694300000000013, -3.2045257115e-08
-8.694200000000013, -3.1980277981e-08
-8.694100000000013, -3.1987685389e-08
-8.694000000000013, -3.1805061695e-08
-8.693900000000014, -3.1898693464e-08
-8.693800000000014, -3.1779606502e-08
-8.693700000000014, -3.1541027568e-08
-8.693600000000014, -3.1764113118e-08
-8.693500000000014, -3.172171148e-08
-8.693400000000015, -3.1939517697e-08
-8.693300000000015, -3.1885555529e-08
-8.693200000000015, -3.1549390656e-08
-8.693100000000015, -3.124404202e-08
-8.693000000000016, -3.121153469e-08
-8.692900000000016, -3.1334128181e-08
-8.692800000000016, -3.1373016185e-08
-8.692700000000016, -3.1896256303e-08
-8.692600000000017, -3.1375417819e-08
-8.692500000000017, -3.1182750604e-08
-8.692400000000017, -3.1378320386e-08
-8.692300000000017, -3.1230094066e-08
-8.692200000000017, -3.1138618795e-08
-8.692100000000018, -3.0974256049e-08
-8.692000000000018, -3.1088539743e-08
-8.691900000000018, -3.0862523204e-08
-8.691800000000018, -3.0810486606e-08
-8.691700000000019, -3.0468214618e-08
-8.691600000000019, -3.0430729936e-08
-8.691500000000019, -3.041350638e-08
