# timestamp: 2022/07/26-21:43:47
# script_parameters: {'runtime_per_epoch': 40, 'readout_noise': 0.014142135623730952, 'length_oc': 9.900000000000001e-08, 'is_noisy': True, 'generate_parameters': {'name': 'oc_nrep', 'n_start': 1, 'n_step': 1, 'num_of_points': 8, 'filename_amplitude': 'on_nv=2_amplitude.txt', 'filename_phase': 'on_nv=2_phase.txt', 'folder_path': 'C:\\Software\\qudi_data\\optimal_control_assets', 't_gap': 1.1904761904761904e-07, 'vs_rect_pulse': False, 'alternating': True, 'experiment': 'oc_nrep'}, 'fom_function': <function add_penalty_freq_bandstop.<locals>.extend_fom at 0x000000F4B6A572F0>, 'pulsed_generation_params': OrderedDict([('laser_channel', 'd_ch4'), ('sync_channel', 'd_ch1'), ('gate_channel', 'd_ch3'), ('microwave_channel', 'a_ch1'), ('microwave_frequency', 2628560000.0), ('microwave_amplitude', 0.24), ('rabi_period', 4.96e-08), ('laser_length', 3e-06), ('laser_delay', 5e-07), ('wait_time', 1e-06), ('analog_trigger_voltage', 0.0)]), 'pulsed_settings': {'invoke_settings': True}, 'pulsed_analysis_settings': {'signal_start': 8.042105263157894e-07, 'signal_end': 1.6042105263157894e-06, 'norm_start': 2.6989473684210524e-06, 'norm_end': 3.4989473684210524e-06, 'method': 'mean_norm'}, 'pulsed_extraction_settings_settings': {'method': 'pass_through'}}
# optimization_client_name: test_dCRAB_Noisy_2_control_fields
# opti_algorithm_module: quocslib.optimalalgorithms.dCRABNoisyAlgorithm
# opti_algorithm_class: DCrabNoisyAlgorithm
# algorithm_settings: {'algorithm_name': 'dCRAB', 'super_iteration_number': 10000000, 'FoM_goal': 1e-05, 'total_time_lim': 2880, 'compensate_drift': {'compensate_after_SI': True, 'compensate_after_minutes': 15}, 'random_number_generator': {'seed_number': 420}, 'dsm_settings': {'general_settings': {'dsm_algorithm_name': 'NelderMead', 'is_adaptive': False, 'dsm_algorithm_module': None, 'dsm_algorithm_class': None, 'parallelization': False}, 'stopping_criteria': {'time_lim': 90, 'change_based_stop': {'cbs_funct_evals': 500, 'cbs_change': 0.01}, 'total_time_lim': 2880, 'k3': 3, 'max_eval': 10000000000, 'xatol': 1e-14, 'frtol': 1e-13}}, 'algorithm_attribute': None, 'algorithm_module': None, 'algorithm_class': None, 'max_eval_total': 10000000000, 'optimization_direction': 'minimization'}
# times: [{'time_name': 'time_p', 'initial_value': 1.0000000000000001e-07}]
# pulses: [{'pulse_name': 'Amplitude', 'upper_limit': 0.25, 'lower_limit': -0.25, 'bins_number': 2000, 'time_name': 'time_p', 'amplitude_variation': 0.03096, 'basis': {'basis_name': 'Fourier', 'basis_class': 'Fourier', 'basis_module': 'quocslib.pulses.basis.Fourier', 'basis_vector_number': 2, 'random_super_parameter_distribution': {'distribution_name': 'Uniform', 'distribution_class': 'Uniform', 'distribution_module': 'quocslib.pulses.superparameter.Uniform', 'lower_limit': 0.0, 'upper_limit': 10, 'distribution_attribute': None}, 'basis_attribute': None}, 'scaling_function': {'function_type': 'lambda_function', 'lambda_function': 'lambda t: 1.0 + 0.0*t'}, 'initial_guess': {'function_type': 'list_function', 'list_function': array([0.10549502, 0.10536259, 0.10522768, ..., 0.01874905, 0.01839079,
#        0.01803488])}, 'shrink_ampl_lim': True}, {'pulse_name': 'Phase', 'upper_limit': 0.25, 'lower_limit': -0.25, 'bins_number': 2000, 'time_name': 'time_p', 'amplitude_variation': 0.03096, 'basis': {'basis_name': 'Fourier', 'basis_class': 'Fourier', 'basis_module': 'quocslib.pulses.basis.Fourier', 'basis_vector_number': 2, 'random_super_parameter_distribution': {'distribution_name': 'Uniform', 'distribution_class': 'Uniform', 'distribution_module': 'quocslib.pulses.superparameter.Uniform', 'lower_limit': 0.0, 'upper_limit': 10, 'distribution_attribute': None}, 'basis_attribute': None}, 'scaling_function': {'function_type': 'lambda_function', 'lambda_function': 'lambda t: 1.0 + 0.0*t'}, 'initial_guess': {'function_type': 'list_function', 'list_function': array([0., 0., 0., ..., 0., 0., 0.])}, 'shrink_ampl_lim': True}]
# parameters: []
# 
0.000000000000000000e+00 7.465154521525417530e-02
5.002501250625313055e-11 7.423673479553788424e-02
1.000500250125062611e-10 7.383209176224796166e-02
1.500750375187594046e-10 7.343752606206904732e-02
2.001000500250125222e-10 7.305294399227271751e-02
2.501250625312656398e-10 7.267824825817309486e-02
3.001500750375188092e-10 7.231333803154336992e-02
3.501750875437719268e-10 7.195810900996382764e-02
4.002001000500250444e-10 7.161245347707431708e-02
4.502251125562781620e-10 7.127626036370010576e-02
5.002501250625312797e-10 7.094941530982420974e-02
5.502751375687843973e-10 7.063180072737550164e-02
6.003001500750376183e-10 7.032329586380600683e-02
6.503251625812907359e-10 7.002377686642632937e-02
7.003501750875438536e-10 6.973311684747326988e-02
7.503751875937969712e-10 6.945118594987841065e-02
8.004002001000500888e-10 6.917785141371154967e-02
8.504252126063032065e-10 6.891297764326947961e-02
9.004502251125563241e-10 6.865642627478241167e-02
9.504752376188095451e-10 6.840805624470996937e-02
1.000500250125062559e-09 6.816772385859898309e-02
1.050525262631315780e-09 6.793528286047539888e-02
1.100550275137568795e-09 6.771058450274279605e-02
1.150575287643822016e-09 6.749347761656011857e-02
1.200600300150075237e-09 6.728380868267191950e-02
1.250625312656328251e-09 6.708142190266326577e-02
1.300650325162581472e-09 6.688615927061390687e-02
1.350675337668834486e-09 6.669786064512367441e-02
1.400700350175087707e-09 6.651636382168435446e-02
1.450725362681340721e-09 6.634150460537066585e-02
1.500750375187593942e-09 6.617311688382512824e-02
1.550775387693846957e-09 6.601103270051163208e-02
1.600800400200100178e-09 6.585508232821093988e-02
1.650825412706353399e-09 6.570509434273472116e-02
1.700850425212606413e-09 6.556089569683207219e-02
1.750875437718859634e-09 6.542231179426442889e-02
1.800900450225112648e-09 6.528916656402394825e-02
1.850925462731365869e-09 6.516128253467237674e-02
1.900950475237619090e-09 6.503848090877498156e-02
1.950975487743872104e-09 6.492058163740789534e-02
2.001000500250125119e-09 6.480740349471360295e-02
2.051025512756378546e-09 6.469876415248307366e-02
2.101050525262631561e-09 6.459448025474087696e-02
2.151075537768884575e-09 6.449436749231143851e-02
2.201100550275137589e-09 6.439824067734342683e-02
2.251125562781391017e-09 6.430591381777139848e-02
2.301150575287644031e-09 6.421720019169192828e-02
2.351175587793897045e-09 6.413191242163363004e-02
2.401200600300150473e-09 6.404986254869979301e-02
2.451225612806403488e-09 6.397086210656212357e-02
2.501250625312656502e-09 6.389472219528635755e-02
2.551275637818909516e-09 6.382125355496813535e-02
2.601300650325162944e-09 6.375026663915955849e-02
2.651325662831415958e-09 6.368157168806723445e-02
2.701350675337668972e-09 6.361497880150103479e-02
2.751375687843921986e-09 6.355029801155601121e-02
2.801400700350175414e-09 6.348733935500674996e-02
2.851425712856428429e-09 6.342591294539651203e-02
2.901450725362681443e-09 6.336582904480261846e-02
2.951475737868934871e-09 6.330689813525947063e-02
3.001500750375187885e-09 6.324893098982131701e-02
3.051525762881440899e-09 6.319173874324715556e-02
3.101550775387693913e-09 6.313513296229049387e-02
3.151575787893947341e-09 6.307892571557616179e-02
3.201600800400200355e-09 6.302292964304738454e-02
3.251625812906453370e-09 6.296695802496678207e-02
3.301650825412706797e-09 6.291082485045357275e-02
3.351675837918959812e-09 6.285434488554228483e-02
3.401700850425212826e-09 6.279733374074489283e-02
3.451725862931465840e-09 6.273960793810218206e-02
3.501750875437719268e-09 6.268098497770743793e-02
3.551775887943972282e-09 6.262128340368747215e-02
3.601800900450225296e-09 6.256032286962559530e-02
3.651825912956478724e-09 6.249792420341127724e-02
3.701850925462731738e-09 6.243390947150116721e-02
3.751875937968985166e-09 6.236810204257803303e-02
3.801900950475238180e-09 6.230032665059109104e-02
3.851925962981491195e-09 6.223040945716493133e-02
3.901950975487744209e-09 6.215817811336178667e-02
3.951975987993997223e-09 6.208346182078364195e-02
4.002001000500250237e-09 6.200609139200004283e-02
4.052026013006503252e-09 6.192589931028745498e-02
4.102051025512757093e-09 6.184271978866726777e-02
4.152076038019010107e-09 6.175638882822817588e-02
4.202101050525263121e-09 6.166674427572038653e-02
