# timestamp: 2022/07/26-21:43:47
# script_parameters: {'runtime_per_epoch': 40, 'readout_noise': 0.014142135623730952, 'length_oc': 9.900000000000001e-08, 'is_noisy': True, 'generate_parameters': {'name': 'oc_nrep', 'n_start': 1, 'n_step': 1, 'num_of_points': 8, 'filename_amplitude': 'on_nv=2_amplitude.txt', 'filename_phase': 'on_nv=2_phase.txt', 'folder_path': 'C:\\Software\\qudi_data\\optimal_control_assets', 't_gap': 1.1904761904761904e-07, 'vs_rect_pulse': False, 'alternating': True, 'experiment': 'oc_nrep'}, 'fom_function': <function add_penalty_freq_bandstop.<locals>.extend_fom at 0x000000F4B6A572F0>, 'pulsed_generation_params': OrderedDict([('laser_channel', 'd_ch4'), ('sync_channel', 'd_ch1'), ('gate_channel', 'd_ch3'), ('microwave_channel', 'a_ch1'), ('microwave_frequency', 2628560000.0), ('microwave_amplitude', 0.24), ('rabi_period', 4.96e-08), ('laser_length', 3e-06), ('laser_delay', 5e-07), ('wait_time', 1e-06), ('analog_trigger_voltage', 0.0)]), 'pulsed_settings': {'invoke_settings': True}, 'pulsed_analysis_settings': {'signal_start': 8.042105263157894e-07, 'signal_end': 1.6042105263157894e-06, 'norm_start': 2.6989473684210524e-06, 'norm_end': 3.4989473684210524e-06, 'method': 'mean_norm'}, 'pulsed_extraction_settings_settings': {'method': 'pass_through'}}
# optimization_client_name: test_dCRAB_Noisy_2_control_fields
# opti_algorithm_module: quocslib.optimalalgorithms.dCRABNoisyAlgorithm
# opti_algorithm_class: DCrabNoisyAlgorithm
# algorithm_settings: {'algorithm_name': 'dCRAB', 'super_iteration_number': 10000000, 'FoM_goal': 1e-05, 'total_time_lim': 2880, 'compensate_drift': {'compensate_after_SI': True, 'compensate_after_minutes': 15}, 'random_number_generator': {'seed_number': 420}, 'dsm_settings': {'general_settings': {'dsm_algorithm_name': 'NelderMead', 'is_adaptive': False, 'dsm_algorithm_module': None, 'dsm_algorithm_class': None, 'parallelization': False}, 'stopping_criteria': {'time_lim': 90, 'change_based_stop': {'cbs_funct_evals': 500, 'cbs_change': 0.01}, 'total_time_lim': 2880, 'k3': 3, 'max_eval': 10000000000, 'xatol': 1e-14, 'frtol': 1e-13}}, 'algorithm_attribute': None, 'algorithm_module': None, 'algorithm_class': None, 'max_eval_total': 10000000000, 'optimization_direction': 'minimization'}
# times: [{'time_name': 'time_p', 'initial_value': 1.0000000000000001e-07}]
# pulses: [{'pulse_name': 'Amplitude', 'upper_limit': 0.25, 'lower_limit': -0.25, 'bins_number': 2000, 'time_name': 'time_p', 'amplitude_variation': 0.03096, 'basis': {'basis_name': 'Fourier', 'basis_class': 'Fourier', 'basis_module': 'quocslib.pulses.basis.Fourier', 'basis_vector_number': 2, 'random_super_parameter_distribution': {'distribution_name': 'Uniform', 'distribution_class': 'Uniform', 'distribution_module': 'quocslib.pulses.superparameter.Uniform', 'lower_limit': 0.0, 'upper_limit': 10, 'distribution_attribute': None}, 'basis_attribute': None}, 'scaling_function': {'function_type': 'lambda_function', 'lambda_function': 'lambda t: 1.0 + 0.0*t'}, 'initial_guess': {'function_type': 'list_function', 'list_function': array([0.10549502, 0.10536259, 0.10522768, ..., 0.01874905, 0.01839079,
#        0.01803488])}, 'shrink_ampl_lim': True}, {'pulse_name': 'Phase', 'upper_limit': 0.25, 'lower_limit': -0.25, 'bins_number': 2000, 'time_name': 'time_p', 'amplitude_variation': 0.03096, 'basis': {'basis_name': 'Fourier', 'basis_class': 'Fourier', 'basis_module': 'quocslib.pulses.basis.Fourier', 'basis_vector_number': 2, 'random_super_parameter_distribution': {'distribution_name': 'Uniform', 'distribution_class': 'Uniform', 'distribution_module': 'quocslib.pulses.superparameter.Uniform', 'lower_limit': 0.0, 'upper_limit': 10, 'distribution_attribute': None}, 'basis_attribute': None}, 'scaling_function': {'function_type': 'lambda_function', 'lambda_function': 'lambda t: 1.0 + 0.0*t'}, 'initial_guess': {'function_type': 'list_function', 'list_function': array([0., 0., 0., ..., 0., 0., 0.])}, 'shrink_ampl_lim': True}]
# parameters: []
# 
0.000000000000000000e+00 3.370918336266789245e-02
5.002501250625313055e-11 3.357783947252750145e-02
1.000500250125062611e-10 3.344247707329352226e-02
1.500750375187594046e-10 3.330309951667843882e-02
2.001000500250125222e-10 3.315971144329439568e-02
2.501250625312656398e-10 3.301231877542447346e-02
3.001500750375188092e-10 3.286092870908338681e-02
3.501750875437719268e-10 3.270554970537744438e-02
4.002001000500250444e-10 3.254619148117272875e-02
4.502251125562781620e-10 3.238286499908270277e-02
5.002501250625312797e-10 3.221558245678541460e-02
5.502751375687843973e-10 3.204435727568157033e-02
6.003001500750376183e-10 3.186920408890517309e-02
6.503251625812907359e-10 3.169013872869839987e-02
7.003501750875438536e-10 3.150717821316345590e-02
7.503751875937969712e-10 3.132034073240376471e-02
8.004002001000500888e-10 3.112964563406787552e-02
8.504252126063032065e-10 3.093511340830954609e-02
9.004502251125563241e-10 3.073676567217767386e-02
9.504752376188095451e-10 3.053462515345046688e-02
1.000500250125062559e-09 3.032871567392823181e-02
1.050525262631315780e-09 3.011906213219980866e-02
1.100550275137568795e-09 2.990569048589754308e-02
1.150575287643822016e-09 2.968862773345658235e-02
1.200600300150075237e-09 2.946790189539398586e-02
1.250625312656328251e-09 2.924354199512380764e-02
1.300650325162581472e-09 2.901557803932455076e-02
1.350675337668834486e-09 2.878404099787528619e-02
1.400700350175087707e-09 2.854896278337754403e-02
1.450725362681340721e-09 2.831037623027984548e-02
1.500750375187593942e-09 2.806831507362213957e-02
1.550775387693846957e-09 2.782281392741769305e-02
1.600800400200100178e-09 2.757390826268997508e-02
1.650825412706353399e-09 2.732163438518254994e-02
1.700850425212606413e-09 2.706602941275976226e-02
1.750875437718859634e-09 2.680713125251662707e-02
1.800900450225112648e-09 2.654497857761601090e-02
1.850925462731365869e-09 2.627961080387174186e-02
1.900950475237619090e-09 2.601106806609604707e-02
1.950975487743872104e-09 2.573939119423006294e-02
2.001000500250125119e-09 2.546462168927615677e-02
2.051025512756378546e-09 2.518680169905090915e-02
2.101050525262631561e-09 2.490597399377755816e-02
2.151075537768884575e-09 2.462218194153698719e-02
2.201100550275137589e-09 2.433546948359610607e-02
2.251125562781391017e-09 2.404588110963268993e-02
2.301150575287644031e-09 2.375346183287572327e-02
2.351175587793897045e-09 2.345825716518015747e-02
2.401200600300150473e-09 2.316031309205514310e-02
2.451225612806403488e-09 2.285967604766474259e-02
2.501250625312656502e-09 2.255639288981984777e-02
2.551275637818909516e-09 2.225051087498051625e-02
2.601300650325162944e-09 2.194207763328700350e-02
2.651325662831415958e-09 2.163114114363876711e-02
2.701350675337668972e-09 2.131774970883960896e-02
2.751375687843921986e-09 2.100195193082759690e-02
2.801400700350175414e-09 2.068379668600836205e-02
2.851425712856428429e-09 2.036333310070954916e-02
2.901450725362681443e-09 2.004061052677493654e-02
2.951475737868934871e-09 1.971567851731598556e-02
3.001500750375187885e-09 1.938858680263852441e-02
3.051525762881440899e-09 1.905938526636215269e-02
3.101550775387693913e-09 1.872812392174997426e-02
3.151575787893947341e-09 1.839485288826538806e-02
3.201600800400200355e-09 1.805962236837319046e-02
3.251625812906453370e-09 1.772248262460170837e-02
3.301650825412706797e-09 1.738348395688215503e-02
3.351675837918959812e-09 1.704267668018165718e-02
3.401700850425212826e-09 1.670011110244577768e-02
3.451725862931465840e-09 1.635583750286620508e-02
3.501750875437719268e-09 1.600990611048887582e-02
3.551775887943972282e-09 1.566236708317781876e-02
3.601800900450225296e-09 1.531327048694913415e-02
3.651825912956478724e-09 1.496266627568979685e-02
3.701850925462731738e-09 1.461060427127525672e-02
3.751875937968985166e-09 1.425713414409954249e-02
3.801900950475238180e-09 1.390230539403136852e-02
3.851925962981491195e-09 1.354616733180917867e-02
3.901950975487744209e-09 1.318876906088775613e-02
3.951975987993997223e-09 1.283015945974880917e-02
4.002001000500250237e-09 1.247038716468735348e-02
4.052026013006503252e-09 1.210950055308519444e-02
4.102051025512757093e-09 1.174754772718306431e-02
4.152076038019010107e-09 1.138457649836147403e-02
4.202101050525263121e-09 1.102063437194107653e-02
4.252126063031516136e-09 1.065576853251200620e-02
4.302151075537769150e-09 1.029002582980180838e-02
4.352176088044022164e-09 9.923452765090693198e-03
4.402201100550275178e-09 9.556095478182856720e-03
4.452226113056529020e-09 9.187999734941743393e-03
4.502251125562782034e-09 8.819210915396903314e-03
4.552276138069035048e-09 8.449774002429485606e-03
4.602301150575288062e-09 8.079733571043239138e-03
4.652326163081541077e-09 7.709133778226908221e-03
4.702351175587794091e-09 7.338018353414014171e-03
4.752376188094047105e-09 6.966430589545012653e-03
4.802401200600300947e-09 6.594413334736633735e-03
4.852426213106553961e-09 6.222008984562788295e-03
4.902451225612806975e-09 5.849259474950537982e-03
4.952476238119059989e-09 5.476206275694606856e-03
5.002501250625313003e-09 5.102890384593094901e-03
5.052526263131566018e-09 4.729352322206599110e-03
5.102551275637819032e-09 4.355632127242679841e-03
5.152576288144072046e-09 3.981769352566612644e-03
5.202601300650325888e-09 3.607803061839643787e-03
5.252626313156578902e-09 3.233771826784507045e-03
5.302651325662831916e-09 2.859713725078123683e-03
5.352676338169084930e-09 2.485666338871100976e-03
5.402701350675337944e-09 2.111666753931895537e-03
5.452726363181590959e-09 1.737751559414816606e-03
5.502751375687843973e-09 1.363956848248975770e-03
5.552776388194097814e-09 9.903182181456265769e-04
5.602801400700350829e-09 6.168707732206006600e-04
